Systems,ΔGOOH*,ΔGO*,ΔGOH*,ΔG(ⅰ),ΔG(ⅱ),ΔG(ⅲ),ΔG(ⅳ),UORR,RDS
CBOS-Au,3.336,1.854,-0.252,1.584,1.482,2.106,-0.252,-0.252,4
CBOS-Cd,4.242,3.248,0.695,0.678,0.994,2.553,0.695,0.678,1
CBOS-Co,3.249,1.14,-0.107,1.671,2.109,1.246,-0.107,-0.107,4
CBOS-Cu,3.772,2.47,0.248,1.148,1.301,2.222,0.248,0.248,4
CBOS-Fe,3.084,0.491,-0.337,1.836,2.593,0.828,-0.337,-0.337,4
CBOS-Hg,4.803,3.713,1.534,0.117,1.09,2.179,1.534,0.117,1
CBOS-Ir,2.882,0.353,-0.339,2.038,2.529,0.692,-0.339,-0.339,4
CBOS-Nb,1.998,-1.237,-1.345,2.922,3.234,0.108,-1.345,-1.345,4
CBOS-Ni,4.09,2.321,0.484,0.83,1.769,1.837,0.484,0.484,4
CBOS-Pd,3.685,2.263,0.221,1.235,1.422,2.042,0.221,0.221,4
CBOS-Pt,3.421,1.421,-0.309,1.499,2.001,1.73,-0.309,-0.309,4
CBOS-Rh,3.244,1.158,0.089,1.676,2.085,1.069,0.089,0.089,4
CBOS-Ru,2.487,-0.035,-0.567,2.433,2.522,0.533,-0.567,-0.567,4
CBOS-Zn,3.622,2.19,-0.02,1.298,1.431,2.21,-0.02,-0.02,4
CPNB-Ag,4.132,3.064,0.824,0.788,1.068,2.24,0.824,0.788,1
CPNB-Cd,4.016,3.054,0.502,0.904,0.963,2.552,0.502,0.502,4
CPNB-Co,3.143,0.878,-0.098,1.777,2.264,0.976,-0.098,-0.098,4
CPNB-Cu,4.77,0.845,-0.007,0.15,3.925,0.852,-0.007,-0.007,4
CPNB-Fe,2.908,0.078,-0.229,2.012,2.83,0.307,-0.229,-0.229,4
CPNB-Hf,1.636,-0.477,-1.779,3.284,2.114,1.302,-1.779,-1.779,4
CPNB-Hg,4.768,3.677,1.253,0.152,1.09,2.424,1.253,0.152,1
CPNB-Ir,3.759,0.771,0.079,1.161,2.988,0.692,0.079,0.079,4
CPNB-Ni,3.738,1.956,0.701,1.182,1.783,1.254,0.701,0.701,4
CPNB-Pd,4.115,2.561,0.844,0.805,1.554,1.716,0.844,0.805,1
CPNB-Pt,3.977,1.714,0.465,0.943,2.263,1.249,0.465,0.465,4
CPNB-Rh,4.16,1.565,0.374,0.76,2.595,1.191,0.374,0.374,4
