Name,Metal,dE_OOH,dE_O2
Y_B1N1S2-pen,Y,-2.6458741186111325,-2.1018156355760684
Pd_C2O1S1-pen,Pd,-1.3380024057336328,-0.6761750199210983
Pd_C2O1S1-hex,Pd,-1.2502343767971666,-0.580526591942979
Cu_B1C1O2-hex,Cu,-1.7318053726309728,-0.9858182044118085
Cu_B1C1O2-pen,Cu,-1.813518247300422,-0.8068959808906389
Ag_B3,Ag,-1.0247226115381665,-0.22698094666962199
Ag_C1P2S1-opp,Ag,-1.36793941519592,-0.5019368063170564
Hg_B1P1S2-opp,Hg,-1.0716313673116389,-0.07675995103816469
Cu_N4,Cu,-1.1708559474235614,-0.260928279994042
Hg_B1C1O1P1,Hg,-1.2833409751202822,-0.1159338807424124
V_B2C2-hex,V,-1.2201967162251464,0.029677088194679513
V_B2C2-pen,V,-1.2173236243921934,0.028179690395083057
Rh_C1O2P1-pen,Rh,-2.1936203057511108,-1.650368515309518
Rh_C1O2P1-hex,Rh,-2.139563839841756,-1.5916779919697692
Pt_C1O2P1-hex,Pt,-2.002514197167912,-1.4493060010700365
Cr_C2N1O1-opp,Cr,-1.7274946637708837,-0.9307514476046581
Fe_B1C1N1O1,Fe,-1.5162802725535158,-1.420115280056942
Hg_C1O1P2-pen,Hg,-1.2147397810824287,-0.13096942896769725
Hg_C1O1P2-hex,Hg,-1.5525510197424097,-0.3665555576106758
Re_C1O2,Re,-2.58908796943372,-1.0924641443337837
V_B1C1P1S1,V,-1.1544495865166624,0.15284709518257067
Re_N1O1S2-opp,Re,-2.477266802926536,-1.9774258124939283
Rh_B1C1P2-pen,Rh,-1.7781199342239375,-1.6067283958248968
Pd_C2N1S1-hex,Pd,-1.090341641869557,-0.17078704745692086
Pd_C2N1S1-pen,Pd,-1.109142221114908,-0.23768083865835798
Cd_B2N1S1-pen,Cd,-1.3598897773029108,-0.302778245550579
Cr_B1C2P1-opp,Cr,-1.1502037796050928,-0.351402813788221
Cd_B2N1S1-hex,Cd,-1.3734688382052838,-0.3022104233155378
Os_N1O2P1-hex,Os,-2.59518152844943,-2.0075419135352863
Ag_B2O1,Ag,-1.0206447800899383,-0.19562498378398097
Cr_B3S1,Cr,-1.4684433126546566,-1.7865106226306384
Mo_O1P2S1-opp,Mo,-1.2475610132173216,-0.2864273650387563
V_B2C1N1-pen,V,-1.3183498546583365,-0.045452965714426696
